# index, _pos
429,"array([15.7221866 , -4.26300903])"
430,"array([16.09692409, -3.98177071])"
431,"array([16.31697379, -5.5120795 ])"
432,"array([16.74559025, -5.65828657])"
433,"array([15.84530336, -5.14977662])"
434,"array([ 6.21752154, -5.24204023])"
435,"array([ 5.578046  , -3.95390689])"
436,"array([ 4.46227727, -3.2296584 ])"
437,"array([ 16.39482873, -29.87094435])"
438,"array([ 16.92131079, -28.96417189])"
439,"array([ 17.57794503, -29.1625962 ])"
440,"array([ 17.26725006, -30.05358183])"
441,"array([ 17.78341625, -29.53697468])"
442,"array([ 16.9188306 , -29.96207931])"
443,"array([ 16.76269107, -29.30333006])"
444,"array([ 17.51634947, -29.81956318])"
445,"array([ 17.67605529, -28.67008112])"
446,"array([ 16.68478486, -29.69850634])"
447,"array([ 16.67429603, -28.33600396])"
448,"array([ 16.71534881, -28.67912605])"
449,"array([ 17.37201009, -29.46255708])"
450,"array([ 17.14621149, -29.1845231 ])"
451,"array([ 17.42003855, -28.32924254])"
452,"array([ 16.38352156, -29.43654117])"
453,"array([ 16.18762063, -29.13139142])"
454,"array([ 17.36976397, -28.88083067])"
455,"array([ 16.55223707, -29.04848198])"
456,"array([ 16.3102376 , -28.71975384])"
457,"array([ 17.01388357, -28.34619393])"
458,"array([ 17.05190535, -29.55120351])"
459,"array([-16.8979531 ,  10.64658084])"
460,"array([-15.93952841,  10.9569631 ])"
461,"array([-16.21620862,   9.98702428])"
462,"array([ -3.42427666, -16.99044006])"
463,"array([ -2.87541402, -15.41650646])"
464,"array([24.46614988, 12.79394129])"
465,"array([23.68413417, 13.3170436 ])"
466,"array([-22.60403908,  18.41816868])"
467,"array([-21.8071475,  18.8773043])"
468,"array([ 10.9520272 , -21.58891466])"
469,"array([ 12.66061828, -17.46144258])"
470,"array([ 14.37367944, -18.35205157])"
471,"array([ 10.83540358, -20.67440722])"
472,"array([ 12.84958241, -17.92585159])"
473,"array([ 11.21285805, -21.95285178])"
474,"array([ 12.90067127, -16.66735168])"
